population,pop2024,pop2023,pop2022,pop2021,pop2020,pop2019,pop2018,pop2017,pop2016,pop2015,pop2014,pop2013,pop2012,pop2011,pop2010,pop2009,pop2008,pop2007,pop2006,pop2005,pop2004,pop2003,pop2002,pop2001,pop2000,growth,region,city,usps,state,countyFips,county,densityMi,slug,areaMi,lng,lat,type,rank
997164,997164,985843,971777,961828.5,951880,939006.6,926133.2,913259.8,900386.4,887513,874639.6,861766.2,848892.8,836019.4,823146,810922.3878,798698.7755,786475.1633,774251.551,762027.9388,749804.3265,737580.7143,725357.102,713133.4898,700909.8775,0.01148,Northeast,Jacksonville,FL,Florida,12031,Duval County,1334,florida/jacksonville,747.261,-81.6616,30.3369,City,1
460289,460289,455924,450014,446420.5,442827,426015.4,409203.8,434421.2,417609.6,413406.7,426015.4,409203.8,434421.2,417609.6,400798,394846.2012,388894.4025,382942.6037,630399.605,371039.0062,365087.2074,359135.4087,353183.6099,347231.8112,341280.0124,0.00957,Southeast,Miami,FL,Florida,12086,Miami-Dade County,12787,florida/miami,35.996,-80.2086,25.7752,City,2
408510,408510,403364,398325,393124.5,387924,357463.2,377770.4,347309.6,367616.8,372693.6,357463.2,377770.4,347309.6,367616.8,337156,332149.2768,327142.5535,322135.8303,608723.107,312122.3838,307115.6605,302108.9373,297102.2141,292095.4908,287088.7676,0.01276,South,Tampa,FL,Florida,12057,Hillsborough County,3595,florida/tampa,113.638,-82.4776,27.9663,City,3
325044,325044,320742,315859,311846.5,307834,252942,266665,280388,294111,280388,252942,266665,280388,294111,239219,235666.6286,232114.2572,228561.8858,575365.7145,221457.1431,217904.7717,214352.4003,210800.0289,207247.6575,203695.2861,0.01341,East,Orlando,FL,Florida,12009,Brevard County,2922,florida/orlando,111.236,-81.2548,28.4086,City,4
264982,264982,263553,261722,260494,259266,248029.2,252243,256456.8,246624.6,256456.8,248029.2,252243,256456.8,246624.6,245220,241578.5145,237937.0291,234295.5436,577409.6581,227012.5727,223371.0872,219729.6017,216088.1163,212446.6308,208805.1453,0.00542,South,St. Petersburg,FL,Florida,12103,Pinellas County,4287,florida/st-petersburg,61.804,-82.6441,27.7627,City,5
257756,257756,245021,231852,219333.5,206815,173251,177446.5,198424,190033,198424,173251,177446.5,198424,190033,164860,162411.8502,159963.7004,157515.5506,550039.0008,152619.251,150171.1012,147722.9514,145274.8016,142826.6518,140378.502,0.05198,Southeast,Port St. Lucie,FL,Florida,12111,St. Lucie County,2162,florida/port-st-lucie,119.216,-80.3883,27.2806,City,6
234132,234132,224455,216915,206168.5,195422,158804.6,175079,171010.4,166941.8,171010.4,158804.6,175079,171010.4,166941.8,154736,152438.1903,150140.3806,147842.5709,546590.7612,143246.9515,140949.1418,138651.3321,136353.5224,134055.7127,131757.903,0.04311,South,Cape Coral,FL,Florida,12071,Lee County,2206,florida/cape-coral,106.123,-81.9974,26.6432,City,7
220930,220930,221300,220205,221306.5,222408,223630,222713.5,224241,223019,224241,223630,222713.5,224241,223019,225463,222114.9034,218766.8069,215418.7103,570680.4138,208722.5172,205374.4207,202026.3241,198678.2276,195330.131,191982.0344,-0.00167,Southeast,Hialeah,FL,Florida,12086,Miami-Dade County,10237,florida/hialeah,21.581,-80.3029,25.8699,City,8
203650,203650,202221,201718,199825.5,197933,181441,189687,183090.2,196283.8,183090.2,181441,189687,183090.2,196283.8,181441,178746.6245,176052.249,173357.8734,555686.4979,167969.1224,165274.7469,162580.3714,159885.9959,157191.6203,154497.2448,0.00707,Northwest,Tallahassee,FL,Florida,12073,Leon County,1988,florida/tallahassee,102.428,-84.2523,30.4535,City,9
184709,184709,184255,183118,183005,182892,168025.8,177936.6,169677.6,179588.4,169677.6,168025.8,177936.6,169677.6,179588.4,166374,163903.3675,161432.735,158962.1025,550554.67,154020.8375,151550.205,149079.5725,146608.94,144138.3075,141667.675,0.00246,Southeast,Fort Lauderdale,FL,Florida,12011,Broward County,5341,florida/fort-lauderdale,34.582,-80.1467,26.1412,City,10
171134,171134,171119,169864,170468.5,171073,167911.8,164750.6,164750.6,161589.4,164750.6,167911.8,164750.6,164750.6,161589.4,155267,152961.305,150655.61,148349.9151,546771.6201,143738.5251,141432.8301,139127.1351,136821.4401,134515.7452,132210.0502,0.00009,Southeast,Pembroke Pines,FL,Florida,12011,Broward County,5236,florida/pembroke-pines,32.681,-80.3402,26.0147,City,11
154211,154211,153859,152630,152716,152802,150441.6,148081.2,148081.2,145720.8,148081.2,150441.6,148081.2,148081.2,145720.8,141000,138906.1681,136812.3363,134718.5044,541912.2725,130530.8407,128437.0088,126343.1769,124249.3451,122155.5132,120061.6813,0.00229,Southeast,Hollywood,FL,Florida,12011,Broward County,5659,florida/hollywood,27.251,-80.1646,26.031,City,12
147001,147001,145812,145276,143760.5,142245,135217,128189,128189,138731,128189,135217,128189,128189,138731,124675,122823.5923,120972.1846,119120.7768,536351.9691,115417.9614,113566.5537,111715.146,109863.7383,108012.3305,106160.9228,0.00815,North,Gainesville,FL,Florida,12001,Alachua County,2297,florida/gainesville,63.986,-82.3468,29.6795,City,13
140700,140700,135566,129173,124668,120163,115357,118561,118561,105745,118561,115357,118561,118561,105745,104143,102596.4898,101049.9797,99503.46953,529358.7594,96410.44921,94863.93905,93317.4289,91770.91874,90224.40858,88677.89842,0.03787,Southeast,Palm Bay,FL,Florida,12009,Brevard County,1623,florida/palm-bay,86.679,-80.6583,27.9649,City,14
